Date,bioRxiv monthly uploads,Note
1,73,bioRxic starts accepting preprints
31,70,
62,74,
93,87,
121,73,
152,99,
182,102,
213,107,
243,94,
274,122,
305,132,
335,119,
366,120,
396,129,
427,147,
458,126,
486,183,
517,180,
547,169,
578,188,
608,222,
639,242,
670,235,
700,282,
731,300,
761,276,
792,293,
823,393,
852,520,
883,490,
913,553,
944,533,
974,536,
1005,623,
1036,597,
1066,668,
1097,652,
1127,766,Peer Community in Evolutionary Biology posts first recommended article
1158,811,
1189,872,
1217,1146,
1248,1027,Preprints start receiving high profile science write-ups
1278,1320,
1309,1502,
1339,1375,
1370,1465,
1401,1511,
1431,1702,
1462,1696,
1492,1546,
1523,1812,
1554,1755,
1582,2097,
1613,2048,
1643,2570,
1674,2519,
1704,2404,
1735,2556,
1766,2544,
1796,2916,
1827,2690,
1857,2659,
1888,3027,
1919,2778,
1947,3292,Pandemic lockdown starts in many countries
1978,3086,
2008,3427,
2039,3209,
2069,3600,
2100,3326,
2131,3554,
2161,3922,
2192,3489,
2222,3154,
2253,3649,
2284,3766,
2313,4204,
2344,4662,
2374,5158,Record number of submissions in May 2020
2405,5146,
2435,5014,
2466,4323,
2497,4352,
2527,4423,
2558,4127,
2588,4216,
2619,4263,
2650,4385,
2678,4955,
2709,4512,
2740,4501,
2770,4192,
2801,4075,
2831,3990,
2862,4167,
2892,4223,
2922,4012,
2953,4014,
2983,3935,
3014,3666,
3044,4309,
3075,3779,
3105,4260,
3135,3941,
3166,4028,
3196,3958,
3227,4284,
3257,4321,
3288,4100,
3318,4007,
3349,4086,
3379,4142,
3409,4732,
3440,4101,
